order_id,order_date,customer_id,customer_age,city,state,channel,device,payment_method,category,subcategory,items,unit_price,gross_amount,discount_pct,discount_amount,shipping_speed,shipping_fee,tax_rate,tax_amount,net_amount,delivery_days,sla_days,delivered_on_time,customer_satisfaction,return_flag,return_reason,fraud_score,risk_label,order_status,month,is_delivered,is_returned,is_cancelled
ORD32297163,2025-09-29,368485,53.0,Mumbai,Maharashtra,Affiliate,iOS,UPI,Sports,Athleisure,4.0,1961.14,7844.56,0.0,0.0,Same-Day,49.5,12.0,947.29,8841.34,1.62,1.0,0.0,3.0,1,Wrong Item,0.328,Medium,Returned,2025-09,0,1,0
ORD21419466,2025-08-14,848708,24.0,Mumbai,Maharashtra,Organic,Android,COD,Electronics,Mobile,4.0,1657.34,6629.37,0.0,0.0,Standard,14.5,18.0,1195.9,7839.76,4.33,7.0,,4.0,0,None,0.217,Low,Cancelled,2025-08,0,0,1
ORD98602555,2025-08-27,678409,42.0,Bengaluru,Karnataka,Referral,Web,Debit Card,Electronics,Accessories,3.0,1961.73,1961.73,0.0,0.0,Express,59.0,18.0,363.73,2384.46,2.39,3.0,1.0,3.0,0,None,0.049,Low,Delivered,2025-08,1,0,0
ORD77384776,2025-11-19,558738,64.0,Unknown,Karnataka,Social,iOS,Wallet,Sports,Outdoor,5.0,492.46,2462.28,0.0,0.0,Standard,14.5,12.0,297.21,2773.99,4.23,7.0,1.0,4.0,0,None,0.107,Low,Delivered,2025-11,1,0,0
ORD81037647,2025-08-15,631056,38.0,Delhi,Delhi,Referral,Android,UPI,Grocery,Staples,5.0,866.39,4331.93,0.0,0.0,Standard,14.5,5.0,217.32,4563.75,4.97,7.0,1.0,5.0,0,None,0.01,Low,Delivered,2025-08,1,0,0
ORD28688146,2025-11-01,989507,46.0,Bengaluru,Karnataka,Paid Search,iOS,Credit Card,Grocery,Staples,2.0,461.35,922.7,0.0,0.0,Express,59.0,5.0,49.08,1030.78,0.3,3.0,1.0,4.0,0,None,0.052,Low,Delivered,2025-11,1,0,0
ORD66791889,2025-09-16,696823,35.0,Ahmedabad,Gujarat,Organic,Web,NetBanking,Grocery,Beverages,4.0,595.44,2381.75,0.0,0.0,Same-Day,49.5,5.0,121.56,2552.81,0.98,1.0,1.0,4.0,0,None,0.181,Low,Delivered,2025-09,1,0,0
ORD31095675,2025-08-22,487653,41.0,Chennai,Tamil Nadu,Affiliate,Web,UPI,Books,Academic,5.0,600.8,3004.02,0.0,0.0,Express,29.5,5.0,151.68,3185.19,2.94,3.0,1.0,5.0,0,None,0.204,Low,Delivered,2025-08,1,0,0
ORD11064244,2025-07-30,994089,42.0,Ahmedabad,Gujarat,Email,Android,NetBanking,Electronics,Mobile,3.0,5894.71,17684.12,0.0,0.0,Standard,14.5,18.0,3185.75,,4.93,7.0,1.0,4.0,1,Wrong Item,0.25,Low,Returned,2025-07,0,1,0
ORD15269070,2025-11-10,722929,26.0,Delhi,Delhi,Social,Web,UPI,Grocery,Staples,1.0,361.76,361.76,0.0,0.0,Express,59.0,5.0,21.04,441.8,4.95,3.0,0.0,4.0,0,None,0.116,Low,Delivered,2025-11,1,0,0
ORD98689997,2025-08-29,349578,62.0,Mumbai,Maharashtra,Social,Android,UPI,Sports,Indoor,3.0,1764.66,5293.99,0.0,0.0,Standard,14.5,12.0,637.02,5945.5,5.73,7.0,1.0,4.0,0,None,0.132,Low,Delivered,2025-08,1,0,0
ORD54846396,2025-10-11,649673,58.0,Mumbai,Maharashtra,Affiliate,iOS,UPI,Beauty,Haircare,2.0,930.14,1860.29,0.0,0.0,Standard,29.0,18.0,340.07,2229.36,8.33,7.0,0.0,4.0,1,No Longer Needed,0.204,Low,Returned,2025-10,0,1,0
ORD63396612,2025-08-17,978071,22.0,Ahmedabad,Gujarat,Email,iOS,NETBANKING,Home,Kitchen,5.0,1162.18,5810.88,0.0,0.0,Express,29.5,18.0,1051.27,6891.65,2.24,3.0,1.0,4.0,0,None,0.0,Low,Delivered,2025-08,1,0,0
ORD13485058,2025-07-28,729190,26.0,Bengaluru,Karnataka,Paid Search,Android,UPI,Grocery,Staples,1.0,302.35,302.35,0.0,0.0,Standard,29.0,5.0,16.57,347.91,5.69,7.0,1.0,4.0,0,None,0.121,Low,Delivered,2025-07,1,0,0
ORD25812340,2025-07-04,787115,48.0,Pune,Maharashtra,Email,Android,Wallet,Sports,Fitness,5.0,1269.81,6349.06,0.0,0.0,Standard,14.5,12.0,763.63,7127.19,5.63,7.0,1.0,3.0,1,No Longer Needed,0.163,Low,Returned,2025-07,0,1,0
ORD98418127,2025-12-20,695596,36.0,Mumbai,Maharashtra,Referral,Web,Debit Card,Sports,Fitness,2.0,1789.64,3579.28,0.0,0.0,Express,29.5,12.0,433.05,4041.83,2.2,3.0,1.0,5.0,0,None,0.141,Low,Delivered,2025-12,1,0,0
ORD55937319,2025-08-25,869858,49.0,Delhi,Delhi,Email,Android,UPI,Books,Fiction,2.0,1287.64,2575.27,18.19,468.33,Express,29.5,5.0,106.82,2243.26,1.45,3.0,1.0,4.0,0,None,0.0,Low,Delivered,2025-08,1,0,0
ORD54136657,2025-10-15,173173,20.0,Bengaluru,Karnataka,Email,Web,Debit Card,Electronics,Accessories,2.0,3730.04,7460.08,0.0,0.0,Standard,14.5,18.0,1345.42,8820.0,3.93,7.0,1.0,4.0,0,None,0.223,Low,Delivered,2025-10,1,0,0
ORD76364960,2025-09-24,822246,53.0,Delhi,Delhi,Affiliate,iOS,UPI,Books,Non-Fiction,1.0,571.74,571.74,0.0,0.0,Standard,29.0,5.0,30.04,630.78,5.51,7.0,1.0,4.0,0,None,0.193,Low,Delivered,2025-09,1,0,0
ORD26884848,2025-09-07,910894,19.0,Bengaluru,Karnataka,Paid Search,iOS,Credit Card,Beauty,Skincare,4.0,948.71,3794.82,0.0,0.0,Express,29.5,18.0,688.38,4512.7,1.6,3.0,1.0,4.0,0,None,0.078,Low,Delivered,2025-09,1,0,0
ORD64682166,2025-11-30,120666,27.0,Ahmedabad,Gujarat,Social,Android,COD,Electronics,Accessories,4.0,3210.34,12841.36,26.05,3345.38,Standard,14.5,18.0,1711.89,11222.36,4.82,7.0,1.0,4.0,0,None,0.363,Medium,Delivered,2025-11,1,0,0
ORD35688847,2025-12-15,809337,52.0,Bengaluru,Karnataka,Social,Android,NetBanking,Fashion,Kids,2.0,1185.11,2370.22,0.0,0.0,Standard,14.5,12.0,286.17,2670.88,5.28,7.0,1.0,4.0,0,None,0.102,Low,Delivered,2025-12,1,0,0
ORD24829166,2025-08-03,553319,34.0,Mumbai,Maharashtra,Organic,Android,NetBanking,Electronics,Mobile,1.0,8056.77,8056.77,0.0,0.0,Standard,14.5,18.0,1452.83,9524.1,5.76,7.0,1.0,5.0,0,None,0.14,Low,Delivered,2025-08,1,0,0
ORD50539020,2025-07-06,446996,27.0,Bengaluru,Karnataka,Affiliate,iOS,UPI,Home,Decor,5.0,1945.99,9729.96,22.05,2145.41,Standard,14.5,18.0,1367.83,8966.88,5.47,7.0,1.0,3.0,0,None,0.28,Medium,Delivered,2025-07,1,0,0
ORD86990475,2025-08-30,195188,59.0,Lucknow,Uttar Pradesh,Social,Web,UPI,Home,Furniture,4.0,2540.92,10163.67,0.0,0.0,Standard,14.5,18.0,1832.07,12010.24,4.56,7.0,1.0,4.0,0,None,0.212,Low,Delivered,2025-08,1,0,0
ORD21039979,2025-07-19,386646,46.0,Chennai,Tamil Nadu,Social,Web,Wallet,Fashion,Kids,2.0,841.64,1683.28,0.0,0.0,Same-Day,99.0,12.0,213.87,1996.15,1.23,1.0,0.0,3.0,0,None,0.119,Low,Delivered,2025-07,1,0,0
ORD45813370,2025-07-06,706130,31.0,Chennai,Tamil Nadu,Paid Search,Android,Debit Card,Fashion,Women,4.0,2400.76,9603.03,26.54,2548.99,Express,29.5,12.0,850.03,7933.57,2.69,3.0,1.0,5.0,0,None,0.248,Low,Delivered,2025-07,1,0,0
ORD41652366,2025-11-26,562577,52.0,Hyderabad,Telangana,Referral,Android,Debit Card,Fashion,Men,2.0,726.91,1453.83,33.65,489.15,Standard,29.0,12.0,119.24,1112.92,5.5,7.0,1.0,5.0,0,None,0.294,Medium,Delivered,2025-11,1,0,0
ORD92590174,2025-07-14,153679,24.0,Ahmedabad,Gujarat,Paid Search,Android,COD,Grocery,Fresh,4.0,432.56,1730.22,34.04,588.98,Standard,29.0,5.0,58.51,1228.76,5.24,7.0,1.0,4.0,0,None,0.301,Medium,Delivered,2025-07,1,0,0
ORD76614954,2025-07-13,375592,41.0,Bengaluru,Karnataka,Referral,Web,UPI,Beauty,Skincare,3.0,1373.32,4119.96,0.0,0.0,Express,29.5,18.0,746.9,4896.36,0.75,3.0,1.0,4.0,0,None,0.13,Low,Delivered,2025-07,1,0,0
ORD87775064,2025-09-04,129878,26.0,Kolkata,West Bengal,Organic,Android,Wallet,Beauty,Fragrance,1.0,496.87,496.87,0.0,0.0,Standard,29.0,18.0,94.66,620.52,3.8,7.0,1.0,4.0,0,None,0.076,Low,Delivered,2025-09,1,0,0
ORD51901093,2025-10-13,427027,48.0,Kolkata,West Bengal,Email,Android,Debit Card,Beauty,Makeup,4.0,1289.42,5157.68,0.0,0.0,Express,29.5,18.0,933.69,6120.87,2.73,3.0,1.0,4.0,1,Damaged,0.119,Low,Returned,2025-10,0,1,0
ORD67602790,2025-09-30,916056,30.0,Bengaluru,Karnataka,Referral,iOS,UPI,Sports,Indoor,1.0,486.01,486.01,24.46,118.86,Standard,29.0,12.0,47.54,443.69,5.5,7.0,1.0,4.0,0,None,0.118,Low,Delivered,2025-09,1,0,0
ORD63447680,2025-11-15,782127,29.0,Bengaluru,Karnataka,Affiliate,iOS,UPI,Fashion,Kids,5.0,658.2,3291.02,0.0,0.0,Express,29.5,12.0,398.46,3718.98,2.8,3.0,1.0,4.0,0,None,0.154,Low,Delivered,2025-11,1,0,0
ORD55158907,2025-11-15,925350,30.0,Hyderabad,Telangana,Paid Search,Android,Debit Card,Beauty,Makeup,1.0,759.61,759.61,0.0,0.0,Standard,29.0,18.0,141.95,930.56,4.06,7.0,1.0,3.0,0,None,0.076,Low,Delivered,2025-11,1,0,0
ORD84542798,2025-07-04,249850,56.0,Bengaluru,Karnataka,Referral,iOS,UPI,Home,Decor,5.0,8279.31,41396.55,0.0,0.0,Express,29.5,18.0,7456.69,48882.74,0.79,3.0,1.0,5.0,0,None,0.129,Low,Delivered,2025-07,1,0,0
ORD88314798,2025-11-18,661392,58.0,Mumbai,Maharashtra,Affiliate,Android,NetBanking,Grocery,Snacks,2.0,487.48,974.97,0.0,0.0,Express,59.0,5.0,51.7,1085.66,4.86,3.0,0.0,5.0,0,None,0.208,Low,Delivered,2025-11,1,0,0
ORD50234750,2025-07-08,371175,27.0,Delhi,Delhi,Email,Android,NetBanking,Electronics,Accessories,3.0,3836.21,11508.64,0.0,0.0,Standard,14.5,18.0,2074.17,13597.31,4.08,7.0,1.0,4.0,0,None,0.177,Low,Delivered,2025-07,1,0,0
ORD63391346,2025-12-16,513933,25.0,Bengaluru,Karnataka,Referral,Android,Credit Card,Grocery,Staples,5.0,845.98,4229.9,0.0,0.0,Same-Day,49.5,5.0,213.97,4493.37,1.82,1.0,0.0,5.0,0,None,0.154,Low,Delivered,2025-12,1,0,0
